NDate,NTime,MeaValue,Weight,RecNo
2020/9/30 ,0:5:6   ,43.8  ,A,113   
2020/9/30 ,0:5:8   ,43.8  ,A,114   
2020/9/30 ,0:5:10  ,43.9  ,A,115   
2020/9/30 ,0:5:12  ,44.0  ,A,116   
2020/9/30 ,0:5:14  ,43.8  ,A,117   
2020/9/30 ,0:5:16  ,43.9  ,A,118   
2020/9/30 ,0:5:18  ,43.9  ,A,119   
2020/9/30 ,0:5:26  ,43.9  ,A,120   
2020/9/30 ,0:5:28  ,43.8  ,A,121   
2020/9/30 ,0:5:30  ,43.8  ,A,122   
2020/9/30 ,0:5:32  ,43.9  ,A,123   
2020/9/30 ,0:5:34  ,43.9  ,A,124   
2020/9/30 ,0:5:36  ,43.9  ,A,125   
2020/9/30 ,0:5:38  ,43.9  ,A,126   
2020/9/30 ,0:5:40  ,43.9  ,A,127   
2020/9/30 ,0:5:42  ,43.9  ,A,128   
2020/9/30 ,0:5:44  ,43.9  ,A,129   
2020/9/30 ,0:5:46  ,43.9  ,A,130   
2020/9/30 ,0:5:48  ,43.9  ,A,131   
2020/9/30 ,0:5:50  ,43.9  ,A,132   
2020/9/30 ,0:5:52  ,43.9  ,A,133   
2020/9/30 ,0:5:54  ,43.9  ,A,134   
2020/9/30 ,0:5:56  ,43.9  ,A,135   
2020/9/30 ,0:5:58  ,43.9  ,A,136   
2020/9/30 ,0:6:0   ,44.0  ,A,137   
2020/9/30 ,0:6:2   ,44.0  ,A,138   
2020/9/30 ,0:6:4   ,43.9  ,A,139   
2020/9/30 ,0:6:6   ,43.9  ,A,140   
2020/9/30 ,0:6:8   ,43.9  ,A,141   
2020/9/30 ,0:6:10  ,43.9  ,A,142   
2020/9/30 ,0:6:12  ,43.8  ,A,143   
2020/9/30 ,0:6:14  ,43.9  ,A,144   
2020/9/30 ,0:6:16  ,43.9  ,A,145   
2020/9/30 ,0:6:18  ,43.9  ,A,146   
2020/9/30 ,0:6:20  ,43.9  ,A,147   
2020/9/30 ,0:6:22  ,43.9  ,A,148   
2020/9/30 ,0:6:24  ,43.9  ,A,149   
2020/9/30 ,0:6:26  ,43.9  ,A,150   
2020/9/30 ,0:6:28  ,44.0  ,A,151   
2020/9/30 ,0:6:30  ,43.8  ,A,152   
2020/9/30 ,0:6:32  ,43.9  ,A,153   
2020/9/30 ,0:6:34  ,43.9  ,A,154   
2020/9/30 ,0:6:36  ,43.8  ,A,155   
2020/9/30 ,0:6:38  ,43.8  ,A,156   
2020/9/30 ,0:6:40  ,43.8  ,A,157   
2020/9/30 ,0:6:42  ,43.8  ,A,158   
2020/9/30 ,0:6:44  ,43.8  ,A,159   
2020/9/30 ,0:6:46  ,43.8  ,A,160   
2020/9/30 ,0:6:48  ,43.8  ,A,161   
2020/9/30 ,0:6:50  ,44.0  ,A,162   
2020/9/30 ,0:6:52  ,44.0  ,A,163   
2020/9/30 ,0:6:54  ,43.9  ,A,164   
2020/9/30 ,0:6:56  ,43.8  ,A,165   
2020/9/30 ,0:6:58  ,43.8  ,A,166   
2020/9/30 ,0:7:0   ,43.9  ,A,167   
2020/9/30 ,0:7:2   ,43.9  ,A,168   
2020/9/30 ,0:7:4   ,43.9  ,A,169   
2020/9/30 ,0:7:6   ,43.8  ,A,170   
2020/9/30 ,0:7:8   ,43.9  ,A,171   
2020/9/30 ,0:7:10  ,43.9  ,A,172   
2020/9/30 ,0:7:12  ,43.9  ,A,173   
2020/9/30 ,0:7:14  ,43.9  ,A,174   
2020/9/30 ,0:7:16  ,45.7  ,A,175   
2020/9/30 ,0:7:18  ,45.7  ,A,176   
2020/9/30 ,0:7:20  ,45.8  ,A,177   
2020/9/30 ,0:7:22  ,43.9  ,A,178   
2020/9/30 ,0:7:24  ,43.8  ,A,179   
2020/9/30 ,0:7:32  ,43.9  ,A,180   
2020/9/30 ,0:7:34  ,43.9  ,A,181   
2020/9/30 ,0:7:36  ,43.9  ,A,182   
2020/9/30 ,0:7:38  ,43.9  ,A,183   
2020/9/30 ,0:7:40  ,43.9  ,A,184   
2020/9/30 ,0:7:42  ,43.9  ,A,185   
2020/9/30 ,0:7:44  ,43.8  ,A,186   
2020/9/30 ,0:7:46  ,43.8  ,A,187   
2020/9/30 ,0:7:48  ,43.9  ,A,188   
2020/9/30 ,0:7:50  ,43.8  ,A,189   
2020/9/30 ,0:7:52  ,43.8  ,A,190   
2020/9/30 ,0:7:54  ,43.9  ,A,191   
2020/9/30 ,0:7:56  ,43.8  ,A,192   
2020/9/30 ,0:7:58  ,43.9  ,A,193   
2020/9/30 ,0:8:0   ,43.8  ,A,194   
2020/9/30 ,0:8:2   ,43.8  ,A,195   
2020/9/30 ,0:8:4   ,43.9  ,A,196   
2020/9/30 ,0:8:6   ,43.8  ,A,197   
2020/9/30 ,0:8:8   ,43.9  ,A,198   
2020/9/30 ,0:8:10  ,43.9  ,A,199   
2020/9/30 ,0:8:12  ,43.9  ,A,200   
2020/9/30 ,0:8:14  ,43.8  ,A,201   
2020/9/30 ,0:8:16  ,43.9  ,A,202   
2020/9/30 ,0:8:18  ,43.8  ,A,203   
2020/9/30 ,0:8:20  ,43.9  ,A,204   
2020/9/30 ,0:8:22  ,43.9  ,A,205   
2020/9/30 ,0:8:24  ,43.8  ,A,206   
2020/9/30 ,0:8:26  ,43.9  ,A,207   
2020/9/30 ,0:8:28  ,44.0  ,A,208   
2020/9/30 ,0:8:30  ,44.1  ,A,209   
2020/9/30 ,0:8:32  ,43.8  ,A,210   
2020/9/30 ,0:8:34  ,43.8  ,A,211   
2020/9/30 ,0:8:36  ,43.8  ,A,212   
2020/9/30 ,0:8:38  ,43.8  ,A,213   
2020/9/30 ,0:8:40  ,43.8  ,A,214   
2020/9/30 ,0:8:42  ,43.9  ,A,215   
2020/9/30 ,0:8:44  ,43.9  ,A,216   
2020/9/30 ,0:8:46  ,44.0  ,A,217   
2020/9/30 ,0:8:48  ,44.0  ,A,218   
2020/9/30 ,0:8:50  ,43.9  ,A,219   
2020/9/30 ,0:8:52  ,43.8  ,A,220   
2020/9/30 ,0:8:54  ,43.9  ,A,221   
2020/9/30 ,0:8:56  ,43.9  ,A,222   
2020/9/30 ,0:8:58  ,43.9  ,A,223   
2020/9/30 ,0:9:0   ,43.9  ,A,224   
2020/9/30 ,0:9:2   ,43.9  ,A,225   
2020/9/30 ,0:9:4   ,43.9  ,A,226   
2020/9/30 ,0:9:6   ,43.9  ,A,227   
2020/9/30 ,0:9:8   ,43.9  ,A,228   
2020/9/30 ,0:9:10  ,43.9  ,A,229   
2020/9/30 ,0:9:12  ,43.7  ,A,230   
2020/9/30 ,0:9:14  ,43.8  ,A,231   
2020/9/30 ,0:9:16  ,43.9  ,A,232   
2020/9/30 ,0:9:18  ,43.8  ,A,233   
2020/9/30 ,0:9:20  ,44.0  ,A,234   
2020/9/30 ,0:9:22  ,43.8  ,A,235   
2020/9/30 ,0:9:24  ,43.8  ,A,236   
2020/9/30 ,0:9:26  ,43.9  ,A,237   
2020/9/30 ,0:9:28  ,43.8  ,A,238   
2020/9/30 ,0:9:30  ,43.8  ,A,239   
2020/9/30 ,0:9:38  ,43.9  ,A,240   
2020/9/30 ,0:9:40  ,43.9  ,A,241   
2020/9/30 ,0:9:42  ,43.9  ,A,242   
2020/9/30 ,0:9:44  ,43.9  ,A,243   
2020/9/30 ,0:9:46  ,43.8  ,A,244   
2020/9/30 ,0:9:48  ,43.9  ,A,245   
2020/9/30 ,0:9:50  ,43.9  ,A,246   
2020/9/30 ,0:9:52  ,43.9  ,A,247   
2020/9/30 ,0:9:54  ,43.8  ,A,248   
2020/9/30 ,0:9:56  ,43.8  ,A,249   
2020/9/30 ,0:9:58  ,43.8  ,A,250   
2020/9/30 ,0:10:0  ,43.9  ,A,251   
2020/9/30 ,0:10:2  ,43.9  ,A,252   
2020/9/30 ,0:10:4  ,43.9  ,A,253   
2020/9/30 ,0:10:6  ,43.9  ,A,254   
2020/9/30 ,0:10:8  ,43.9  ,A,255   
2020/9/30 ,0:10:10 ,43.9  ,A,256   
2020/9/30 ,0:10:12 ,43.9  ,A,257   
2020/9/30 ,0:10:14 ,44.0  ,A,258   
2020/9/30 ,0:10:16 ,44.0  ,A,259   
2020/9/30 ,0:10:18 ,43.9  ,A,260   
2020/9/30 ,0:10:20 ,44.0  ,A,261   
2020/9/30 ,0:10:22 ,44.0  ,A,262   
2020/9/30 ,0:10:24 ,43.9  ,A,263   
2020/9/30 ,0:10:26 ,43.8  ,A,264   
2020/9/30 ,0:10:28 ,44.0  ,A,265   
2020/9/30 ,0:10:30 ,43.9  ,A,266   
2020/9/30 ,0:10:32 ,44.0  ,A,267   
2020/9/30 ,0:10:34 ,43.9  ,A,268   
2020/9/30 ,0:10:36 ,43.9  ,A,269   
2020/9/30 ,0:10:38 ,44.0  ,A,270   
2020/9/30 ,0:10:40 ,44.0  ,A,271   
2020/9/30 ,0:10:42 ,43.8  ,A,272   
2020/9/30 ,0:10:44 ,43.9  ,A,273   
2020/9/30 ,0:10:46 ,43.8  ,A,274   
2020/9/30 ,0:10:48 ,43.9  ,A,275   
2020/9/30 ,0:10:50 ,43.9  ,A,276   
2020/9/30 ,0:10:52 ,43.7  ,A,277   
2020/9/30 ,0:10:54 ,44.0  ,A,278   
2020/9/30 ,0:10:56 ,43.9  ,A,279   
2020/9/30 ,0:10:58 ,43.8  ,A,280   
2020/9/30 ,0:11:0  ,43.8  ,A,281   
2020/9/30 ,0:11:2  ,43.9  ,A,282   
2020/9/30 ,0:11:4  ,43.9  ,A,283   
2020/9/30 ,0:11:6  ,43.8  ,A,284   
2020/9/30 ,0:11:8  ,43.9  ,A,285   
2020/9/30 ,0:11:10 ,43.8  ,A,286   
2020/9/30 ,0:11:12 ,43.9  ,A,287   
2020/9/30 ,0:11:14 ,43.8  ,A,288   
2020/9/30 ,0:11:16 ,43.8  ,A,289   
2020/9/30 ,0:11:18 ,43.8  ,A,290   
2020/9/30 ,0:11:20 ,43.8  ,A,291   
2020/9/30 ,0:11:22 ,43.9  ,A,292   
2020/9/30 ,0:11:24 ,46.5  ,A,293   
2020/9/30 ,0:11:26 ,45.0  ,A,294   
2020/9/30 ,0:11:28 ,43.8  ,A,295   
2020/9/30 ,0:11:30 ,44.3  ,A,296   
2020/9/30 ,0:11:32 ,44.0  ,A,297   
2020/9/30 ,0:11:34 ,43.9  ,A,298   
2020/9/30 ,0:11:36 ,43.8  ,A,299   
2020/9/30 ,0:11:44 ,43.9  ,A,300   
2020/9/30 ,0:11:46 ,43.9  ,A,301   
2020/9/30 ,0:11:48 ,43.9  ,A,302   
2020/9/30 ,0:11:50 ,43.9  ,A,303   
2020/9/30 ,0:11:52 ,43.9  ,A,304   
2020/9/30 ,0:11:54 ,43.9  ,A,305   
2020/9/30 ,0:11:56 ,43.9  ,A,306   
2020/9/30 ,0:11:58 ,43.9  ,A,307   
2020/9/30 ,0:12:0  ,43.9  ,A,308   
2020/9/30 ,0:12:2  ,43.8  ,A,309   
2020/9/30 ,0:12:4  ,43.8  ,A,310   
2020/9/30 ,0:12:6  ,43.9  ,A,311   
2020/9/30 ,0:12:8  ,44.0  ,A,312   
2020/9/30 ,0:12:10 ,43.8  ,A,313   
2020/9/30 ,0:12:12 ,43.9  ,A,314   
2020/9/30 ,0:12:14 ,43.9  ,A,315   
2020/9/30 ,0:12:16 ,43.9  ,A,316   
2020/9/30 ,0:12:18 ,44.0  ,A,317   
2020/9/30 ,0:12:20 ,44.0  ,A,318   
2020/9/30 ,0:12:22 ,44.0  ,A,319   
2020/9/30 ,0:12:24 ,43.9  ,A,320   
2020/9/30 ,0:12:26 ,43.9  ,A,321   
2020/9/30 ,0:12:28 ,43.8  ,A,322   
2020/9/30 ,0:12:30 ,43.9  ,A,323   
2020/9/30 ,0:12:32 ,43.8  ,A,324   
2020/9/30 ,0:12:34 ,43.9  ,A,325   
2020/9/30 ,0:12:36 ,44.0  ,A,326   
2020/9/30 ,0:12:38 ,43.9  ,A,327   
2020/9/30 ,0:12:40 ,44.0  ,A,328   
2020/9/30 ,0:12:42 ,43.9  ,A,329   
2020/9/30 ,0:12:44 ,43.9  ,A,330   
2020/9/30 ,0:12:46 ,44.3  ,A,331   
2020/9/30 ,0:12:48 ,43.9  ,A,332   
2020/9/30 ,0:12:50 ,45.2  ,A,333   
2020/9/30 ,0:12:52 ,43.9  ,A,334   
2020/9/30 ,0:12:54 ,43.9  ,A,335   
2020/9/30 ,0:12:56 ,43.9  ,A,336   
2020/9/30 ,0:12:58 ,44.0  ,A,337   
2020/9/30 ,0:13:0  ,44.0  ,A,338   
2020/9/30 ,0:13:2  ,43.9  ,A,339   
2020/9/30 ,0:13:4  ,44.0  ,A,340   
2020/9/30 ,0:13:6  ,43.9  ,A,341   
2020/9/30 ,0:13:8  ,44.0  ,A,342   
2020/9/30 ,0:13:10 ,44.0  ,A,343   
2020/9/30 ,0:13:12 ,43.9  ,A,344   
2020/9/30 ,0:13:14 ,43.9  ,A,345   
2020/9/30 ,0:13:16 ,43.9  ,A,346   
2020/9/30 ,0:13:18 ,44.0  ,A,347   
2020/9/30 ,0:13:20 ,44.0  ,A,348   
2020/9/30 ,0:13:22 ,44.0  ,A,349   
2020/9/30 ,0:13:24 ,44.0  ,A,350   
2020/9/30 ,0:13:26 ,44.1  ,A,351   
2020/9/30 ,0:13:28 ,43.9  ,A,352   
2020/9/30 ,0:13:30 ,43.9  ,A,353   
2020/9/30 ,0:13:32 ,44.0  ,A,354   
2020/9/30 ,0:13:34 ,44.0  ,A,355   
2020/9/30 ,0:13:36 ,44.0  ,A,356   
2020/9/30 ,0:13:38 ,44.0  ,A,357   
2020/9/30 ,0:13:40 ,43.9  ,A,358   
2020/9/30 ,0:13:42 ,43.9  ,A,359   
2020/9/30 ,0:13:50 ,44.0  ,A,360   
2020/9/30 ,0:13:52 ,44.0  ,A,361   
2020/9/30 ,0:13:54 ,50.0  ,A,362   
2020/9/30 ,0:13:56 ,44.5  ,A,363   
2020/9/30 ,0:13:58 ,43.9  ,A,364   
2020/9/30 ,0:14:0  ,43.9  ,A,365   
2020/9/30 ,0:14:2  ,44.0  ,A,366   
2020/9/30 ,0:14:4  ,43.9  ,A,367   
2020/9/30 ,0:14:6  ,43.9  ,A,368   
2020/9/30 ,0:14:8  ,43.8  ,A,369   
2020/9/30 ,0:14:10 ,43.8  ,A,370   
2020/9/30 ,0:14:12 ,43.9  ,A,371   
2020/9/30 ,0:14:14 ,44.0  ,A,372   
2020/9/30 ,0:14:16 ,43.9  ,A,373   
